comparison,ens_gene,baseMean,log2FoldChange,fold,iCEL
BRC20067_vs_N2,WBGene00000056,44.2385495213786,-1.4109645582085,down,No
BRC20067_vs_N2,WBGene00000059,115.953377427013,2.10801820544881,up,No
BRC20067_vs_N2,WBGene00000135,70.9009628238127,-0.875962637554579,down,No
BRC20067_vs_N2,WBGene00000139,205.068744962149,0.679433803175824,up,No
BRC20067_vs_N2,WBGene00000248,762.317218104368,-1.73445945465206,down,No
BRC20067_vs_N2,WBGene00000369,2976.28432789716,0.585839929290043,up,No
BRC20067_vs_N2,WBGene00000395,201.662301146757,0.892464916454588,up,No
BRC20067_vs_N2,WBGene00000396,1975.13964801455,0.762193861316841,up,No
BRC20067_vs_N2,WBGene00000425,143.629817669925,1.23800197088522,up,No
BRC20067_vs_N2,WBGene00000439,27.1988205692516,1.78654676684563,up,No
BRC20067_vs_N2,WBGene00000463,230.265245117238,1.41312441209086,up,No
BRC20067_vs_N2,WBGene00000503,1558.62499324113,2.06379314008255,up,Yes
BRC20067_vs_N2,WBGene00000512,293.296501846675,0.785559971824833,up,Yes
BRC20067_vs_N2,WBGene00000516,281.027790473739,0.662270644744362,up,No
BRC20067_vs_N2,WBGene00000535,1945.86371002487,-3.7327190011013,down,No
BRC20067_vs_N2,WBGene00000544,76.1867149892946,-4.9737233640096,down,No
BRC20067_vs_N2,WBGene00000549,2106.31646693947,0.722399725445134,up,No
BRC20067_vs_N2,WBGene00000612,63.8071899740664,-2.94065689105598,down,No
BRC20067_vs_N2,WBGene00000622,74.4140316877751,-2.1864315018426,down,No
BRC20067_vs_N2,WBGene00000659,266.510558184601,-2.5847168144523,down,No
BRC20067_vs_N2,WBGene00000669,20468.9420646771,0.909977641970241,up,No
BRC20067_vs_N2,WBGene00000675,8236.00668205015,-1.28318312976383,down,No
BRC20067_vs_N2,WBGene00000688,58.5133413929357,-3.39447076624375,down,No
BRC20067_vs_N2,WBGene00000708,537.682033602545,1.67602457098318,up,No
BRC20067_vs_N2,WBGene00000731,555.188002798987,-2.44457174676246,down,No
BRC20067_vs_N2,WBGene00000736,30.4669896408323,-1.00560655418168,down,No
BRC20067_vs_N2,WBGene00000758,67.8452021021204,-3.40278908443638,down,No
BRC20067_vs_N2,WBGene00000776,42089.5917829842,0.700749573068466,up,No
BRC20067_vs_N2,WBGene00000785,15266.0700485936,1.33779372282606,up,No
BRC20067_vs_N2,WBGene00000830,1369.99792494621,-8.85623391390359,down,Yes
BRC20067_vs_N2,WBGene00000864,10.9662225195688,-1.56917962560641,down,No
BRC20067_vs_N2,WBGene00000870,417.323391659944,0.985453115816064,up,No
BRC20067_vs_N2,WBGene00000969,404.559962126213,0.837499186268139,up,No
BRC20067_vs_N2,WBGene00000972,57.5940956838295,1.67952503304205,up,No
BRC20067_vs_N2,WBGene00000981,1124.9179994422,0.793045738678473,up,No
