strain,ens_gene,log_bleach,log_settle
BRC20067,WBGene00000001,10.9484154453234,11.0184602952243
BRC20067,WBGene00000002,9.39269796946538,8.96039179191271
BRC20067,WBGene00000003,7.17955068416213,7.77811574253247
BRC20067,WBGene00000004,9.01936627073931,8.89119654794641
BRC20067,WBGene00000005,7.56542456714046,7.39871853260937
BRC20067,WBGene00000006,8.86499280677094,8.75279100330784
BRC20067,WBGene00000007,8.62882027677597,8.43711727243919
BRC20067,WBGene00000008,2.70423328662162,3.0646369714667
BRC20067,WBGene00000009,6.55331547299041,6.18101333863712
BRC20067,WBGene00000010,10.3830941156968,10.4960934469144
BRC20067,WBGene00000012,3.72776335701609,3.68655638113002
BRC20067,WBGene00000013,4.2655589851867,4.54685700963629
BRC20067,WBGene00000015,3.06141101288429,4.15991795988032
BRC20067,WBGene00000016,7.55013315776523,7.93109790401556
BRC20067,WBGene00000017,8.80641685440695,8.81651592865313
BRC20067,WBGene00000018,9.89594939033316,9.982022297902
BRC20067,WBGene00000019,7.54018529968204,7.78924224513664
BRC20067,WBGene00000020,9.98033211197412,9.88358952266633
BRC20067,WBGene00000022,10.028595982998,9.82584871393085
BRC20067,WBGene00000023,7.56932276061035,8.23187624404824
BRC20067,WBGene00000024,7.74316361511829,9.46320841766802
BRC20067,WBGene00000025,3.51390266506952,3.97286358261159
BRC20067,WBGene00000027,3.68530826632101,4.7167152363804
BRC20067,WBGene00000029,7.50740637631754,9.32441352891527
BRC20067,WBGene00000030,6.95148717085764,8.64040673288006
BRC20067,WBGene00000031,8.29924266704479,9.9451856262736
BRC20067,WBGene00000032,5.3738558509032,3.67210592184887
BRC20067,WBGene00000033,7.1103648641096,8.71241889076503
BRC20067,WBGene00000034,8.33715556351531,9.82727252101951
BRC20067,WBGene00000035,8.65887738936233,8.52285907378027
BRC20067,WBGene00000036,9.71146469638284,9.32554994159361
BRC20067,WBGene00000037,6.49371472271386,6.81338587601155
BRC20067,WBGene00000038,5.3629528476795,5.4902904757512
BRC20067,WBGene00000039,8.51227688819873,10.2653797799748
BRC20067,WBGene00000040,12.2382456965085,11.9250216796213
BRC20067,WBGene00000041,14.7518929455183,14.5948971274424
BRC20067,WBGene00000042,3.42315181121474,4.59957550467701
BRC20067,WBGene00000043,4.23248045614403,4.21628440370754
BRC20067,WBGene00000044,5.63576375917462,5.62287242532326
BRC20067,WBGene00000045,3.08748147015091,3.11316583800537
BRC20067,WBGene00000046,3.67711592305669,4.11289820842476
BRC20067,WBGene00000047,6.02654316833809,6.45356111352512
BRC20067,WBGene00000048,4.77103307706362,4.91455306779125
