target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	38.2172	24	18.5581
Y74C9A.3.2	892	692.815	1234.72	52.6664
Y74C9A.3.1	967	767.726	44.2779	1.70436
Y74C9A.2a.1	714	515.213	3959.82	227.128
Y74C9A.2a.2	685	486.406	4218.18	256.275
Y74C9A.2b.1	171	42.0917	0	0
Y74C9A.4a.1	2117	1917.73	1355.97	20.8952
Y74C9A.4a.2	2118	1918.73	661.788	10.1927
Y74C9A.4b.2	2128	1928.73	1355.17	20.7637
Y74C9A.4b.1	2122	1922.73	1.09522	0.0168332
Y74C9A.4d.1	825	625.815	18.7711	0.886393
Y74C9A.4c.1	1602	1402.73	98.204	2.06889
Y74C9A.9	719	520.213	33.6051	1.909
Y74C9A.5.2	2290	2090.73	99.5577	1.40721
Y74C9A.5.1	2180	1980.73	749.442	11.1814
Y74C9A.7	21	12	0	0
Y74C9A.8	21	12	0	0
Y74C9A.1.1	732	533.213	2	0.110844
Y48G1C.12.1	1106	906.726	1005	32.7545
Y48G1C.4a.1	1407	1207.73	1080	26.4263
Y48G1C.4b.1	942	742.726	0	0
Y48G1C.5.1	3575	3375.73	28	0.245116
Y48G1C.2b.1	1875	1675.73	618.247	10.9029
Y48G1C.2a.1	2602	2402.73	0.300432	0.00369508
Y48G1C.2a.2	2453	2253.73	1747.45	22.9132
Y48G1C.2c.1	132	23.9799	0	0
Y48G1C.10a.1	3621	3421.73	1813.34	15.6608
Y48G1C.10b.1	2440	2240.73	40.7952	0.538024
Y48G1C.10a.2	3611	3411.73	0.00471473	4.08379e-05
Y48G1C.6.1	1741	1541.73	142.599	2.73332
Y48G1C.10c.1	294	123.915	0	0
Y48G1C.9.2	2363	2163.73	924.896	12.632
Y48G1C.9.1	2339	2139.73	0	0
Y48G1C.1.1	1605	1405.73	314.368	6.60876
Y48G1C.1.2	1521	1321.73	0	0
Y48G1C.13.1	376	190.971	159	24.6043
Y48G1C.8a.1	4965	4765.73	1947.59	12.0768
Y48G1C.8b.1	4907	4707.73	3930.41	24.6722
F53G12.1.1	1244	1044.73	13846	391.655
F53G12.1.2	1294	1094.73	4357.01	117.615
F53G12.16	221	72.0195	0	0
F53G12.15	149	31.2813	0	0
F53G12.10.1	799	599.854	38271.3	1885.42
F53G12.10.2	820	620.815	7689.73	366.042
F53G12.17	150	31.7077	2	1.864
F53G12.12	134	24.7486	0	0
F53G12.9a.1	929	729.726	95	3.84721
F53G12.9b.1	237	82.7168	0	0
F53G12.8.1	561	363.776	72	5.84897
F53G12.14	21	12	0	0
F53G12.7a.1	1133	933.726	44.6182	1.41213
F53G12.7b.1	777	577.966	21.3818	1.09326
F53G12.6.1	1586	1386.73	41	0.873725
F53G12.5a.1	2039	1839.73	93.9335	1.50886
F53G12.5b.1	2030	1830.73	448.257	7.23578
F53G12.5a.2	1989	1789.73	15705.4	259.324
F53G12.5c.1	543	346.21	692.457	59.1064
F53G12.4.1	1070	870.726	55	1.86665
F53G12.3.1	4512	4312.73	13.0286	0.0892745
F53G12.18.1	222	72.5541	0	0
F56C11.1.2	5185	4985.73	346.498	2.05378
F56C11.1.1	4667	4467.73	1091.47	7.21951
F56C11.2a.1	2698	2498.73	359.978	4.25734
F56C11.2a.2	2809	2609.73	47.0221	0.532462
F56C11.2b.1	2010	1810.73	0	0
F56C11.6a.1	1847	1647.73	256.852	4.60659
F56C11.6a.2	1911	1711.73	143.807	2.48272
F56C11.6b.1	1686	1486.73	375.979	7.47333
F56C11.6c	1696	1496.73	6.36228	0.125618
F56C11.7	60	23.4872	0	0
F56C11.5b.1	911	711.726	290.358	12.056
F56C11.5a.1	1024	824.726	367.707	13.1757
F56C11.5a.2	1201	1001.73	50.9352	1.50263
F56C11.3.1	558	360.846	1.8079e-07	1.48058e-08
F56C11.3.2	564	366.729	553	44.5616
Y48G1BL.2a.2	7673	7473.73	1536.87	6.07688
Y48G1BL.2a.1	7665	7465.73	0.386192	0.00152867
F56C11.t1	75	23.1946	0.333333	0.424691
K10E9.2	1614	1414.73	62.0187	1.29548
Y48G1BL.2b.1	5106	4906.73	1023.75	6.1657
Y48G1BL.7.1	1070	870.726	22	0.74666
Y48G1BL.3	1468	1268.73	2734.45	63.6919
Y48G1BL.1	870	670.815	253.219	11.1551
Y48G1BL.4	428	237.305	169.92	21.1602
Y48G1BL.8.1	613	414.719	13.2149	0.941655
Y48G1BL.5	933	733.726	338.918	13.6503
Y48G1BM.4	2385	2185.73	7.9216	0.107102
Y48G1BM.6	3780	3580.73	217.24	1.79288
Y48G1BM.7	271	106.644	6	1.66263
Y48G1BM.2	1791	1591.73	6.0784	0.11285
Y48G1BM.8	919	719.726	47.0063	1.93006
Y48G1BM.1.1	1455	1255.73	133.876	3.15056
Y48G1BR.1.1	2090	1890.73	126.048	1.97011
Y48G1BR.1.2	2060	1860.73	525.596	8.3474
T13E5.1	117	18.5817	0	0
C53D5.8	21	12	0	0
C53D5.7	21	12	0	0
C53D5.2.1	1141	941.726	223	6.99781
C53D5.4a.1	1453	1253.73	320.348	7.55093
C53D5.4b.1	1281	1081.73	244.165	6.67033
C53D5.4f.1	456	263.16	25.4813	2.86143
C53D5.4c.1	867	667.815	0.0208618	0.000923161
C53D5.4e.1	561	363.776	39.1988	3.18434
C53D5.4d.1	972	772.726	14.7865	0.565484
C53D5.1c.1	1697	1497.73	0	0
C53D5.1a.2	1695	1495.73	434.765	8.58982
C53D5.1a.1	1689	1489.73	8.49769e-06	1.68568e-07
C53D5.1b.1	1682	1482.73	124.037	2.47213
C53D5.1c.2	1604	1404.73	131.3	2.7622
C53D5.1d.1	1170	970.726	12.8977	0.392641
C53D5.5a.1	2033	1833.73	885	14.2623
C53D5.5b.1	1791	1591.73	0	0
C53D5.6.2	3711	3511.73	10412.6	87.6234
C53D5.6.1	3710	3510.73	4548.39	38.2862
Y48G1A.7	949	749.726	94.9533	3.74274
Y48G1A.5a.1	3492	3292.73	44.4477	0.39891
Y48G1A.5a.2	3499	3299.73	7731.99	69.246
Y48G1A.5b.1	588	390.138	442.554	33.522
Y48G1A.4.2	2762	2562.73	1609.57	18.5605
Y48G1A.4.1	2756	2556.73	254.429	2.94079
Y48G1A.3.2	1296	1096.73	1195	32.1997
Y48G1A.3.1	1288	1088.73	0	0
Y48G1A.6b.1	2165	1965.73	941.396	14.1524
Y48G1A.6a.1	2227	2027.73	139.604	2.03456
Y48G1A.2.1	728	529.213	2116	118.159
Y48G1A.1.1	3102	2902.73	708	7.2079
R119.1	2697	2497.73	618	7.31181
R119.7a.2	2060	1860.73	3248.44	51.591
R119.7a.1	2400	2200.73	2004.2	26.9126
R119.7b.1	2068	1868.73	0	0
R119.7b.2	2012	1812.73	0	0
R119.2.1	1860	1660.73	1301.36	23.157
R119.3.2	889	689.815	0.518213	0.0222002
R119.3.1	885	685.815	1548.13	66.7088
R119.6.1	1943	1743.73	16.1928	0.274427
R119.4.1	2315	2115.73	8366.28	116.857
R119.4.2	2325	2125.73	21330.7	296.538
R119.6.2	1715	1515.73	2134.16	41.609
R119.5a.1	2129	1929.73	410.534	6.28688
R119.5b.1	2061	1861.73	287.466	4.56301
Y50C1A.1a.1	2398	2198.73	902.495	12.1298
Y50C1A.1b.1	1901	1701.73	140.505	2.43996
Y50C1A.2.1	1277	1077.73	45	1.23392
C07F11.2.1	1571	1371.73	48	1.03408
C07F11.1.1	4080	3880.73	11.1676	0.0850412
C07F11.1.2	4083	3883.73	1795.83	13.6647
W04C9.4.1	555	357.846	1.73534e-05	1.43308e-06
W04C9.4.2	556	358.846	2174	179.033
W04C9.5.1	1134	934.726	37	1.16977
W04C9.7	21	12	0	0
W04C9.8	557	359.846	48	3.9419
W04C9.3.1	1574	1374.73	102	2.19263
W04C9.9.1	631	432.638	1	0.0683056
W04C9.6.1	1467	1267.73	83	1.93479
W04C9.2.2	454	261.383	2933	331.601
W04C9.2.1	452	259.469	0.00139867	0.000159299
W04C9.1a.1	2537	2337.73	2268.41	28.6754
W04C9.1b.1	2166	1966.73	129.587	1.94715
Y65B4BL.3a.2	1129	929.726	347.76	11.0537
Y65B4BL.3a.1	998	798.726	236.24	8.74052
Y65B4BL.3b.1	747	548.073	0	0
Y65B4BL.4.1	1184	984.726	1688	50.6569
Y65B4BL.2a.1	2040	1840.73	7166.61	115.055
Y65B4BL.2a.2	2052	1852.73	0.325168	0.00518655
Y65B4BL.2b.1	1725	1525.73	0	0
Y65B4BL.7a.1	982	782.726	69.8608	2.63758
Y65B4BL.7b.1	519	322.838	0.231102	0.0211544
Y65B4BL.5a.1	2597	2397.73	23185.2	285.754
Y65B4BL.5b.1	2031	1831.73	0	0
Y65B4BL.5c.1	2181	1981.73	919.776	13.7158
Y65B4BL.10	150	31.7077	0	0
Y65B4BL.9	129	22.6364	1.29517	1.69083
Y65B4BL.6a.1	535	338.365	17.1471	1.49757
Y65B4BL.6b.1	129	22.6364	0.852867	1.11341
Y65B4BL.8	92	16.1311	0	0
Y65B4BL.11	112	17.2051	0	0
Y65B4BL.12	289	120.096	3	0.738203
Y65B4BL.1.2	1605	1405.73	1233.78	25.9369
Y65B4BL.1.1	1149	949.726	0	0
Y65B4BM.3.1	1468	1268.73	109.221	2.54401
Y65B4BM.2	72	23.7188	0	0
Y65B4BR.8.2	740	541.178	1259	68.7491
Y65B4BR.8.1	735	536.178	2.15453e-07	1.18748e-08
Y65B4BR.5.1	699	500.374	19601	1157.62
Y65B4BR.10	128	22.0698	0	0
Y65B4BR.4b.2	2971	2771.73	7724.66	82.3589
Y65B4BR.4b.1	2964	2764.73	0.0286393	0.00030612
Y65B4BR.4a.1	2974	2774.73	3147.83	33.5253
Y65B4BR.12	157	35.0458	0	0
Y65B4BR.4c.1	1524	1324.73	253.065	5.64531
Y65B4BR.4d.1	1518	1318.73	75.4111	1.6899
Y65B4BR.3.1	3360	3160.73	4057	37.9315
Y65B4BR.11	128	22.0698	4	5.35603
Y65B4BR.2d.1	1063	863.726	0	0
Y65B4BR.2a.1	1025	825.726	23.1336	0.82792
Y65B4BR.2f.1	1613	1413.73	0	0
Y65B4BR.2e.1	1558	1358.73	52.7236	1.14671
Y65B4BR.2b.1	657	458.466	4.47647	0.288542
Y65B4BR.2c.1	699	500.374	20.3069	1.19931
Y65B4BR.1.1	1235	1035.73	51	1.45515
Y65B4BR.9.1	621	422.666	11	0.76909
Y65B4BR.6a.1	1505	1305.73	462.233	10.4614
Y65B4BR.6b.1	1680	1480.73	414.767	8.27773
F56A6.5.1	723	524.213	1	0.0563733
F56A6.8.1	213	66.9167	0	0
F56A6.2a.1	5696	5496.73	283.176	1.52242
