target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	38.4022	12	11.5951
Y74C9A.3.2	892	692.773	838.766	44.9262
Y74C9A.3.1	967	767.648	9.23386	0.446345
Y74C9A.2a.1	714	515.074	1714.96	123.547
Y74C9A.2a.2	685	486.389	2853.04	217.657
Y74C9A.2b.1	171	42.325	0	0
Y74C9A.4a.1	2117	1917.65	780.886	15.1101
Y74C9A.4a.2	2118	1918.65	394.033	7.62057
Y74C9A.4b.2	2128	1928.65	1020.26	19.6294
Y74C9A.4b.1	2122	1922.65	0.00020578	3.97149e-06
Y74C9A.4d.1	825	625.887	0	0
Y74C9A.4c.1	1602	1402.65	21.822	0.577293
Y74C9A.9	719	520.074	14.1476	1.00941
Y74C9A.5.2	2290	2090.65	69.2111	1.22841
Y74C9A.5.1	2180	1980.65	548.789	10.2813
Y74C9A.7	21	8.75	0	0
Y74C9A.8	21	8.75	0	0
Y74C9A.1.1	732	533.014	7	0.487314
Y48G1C.12.1	1106	906.648	809	33.11
Y48G1C.4a.1	1407	1207.65	642	19.7262
Y48G1C.4b.1	942	742.691	0	0
Y48G1C.5.1	3575	3375.65	152	1.67084
Y48G1C.2b.1	1875	1675.65	481.23	10.6566
Y48G1C.2a.1	2602	2402.65	196.168	3.02962
Y48G1C.2a.2	2453	2253.65	1081.6	17.8086
Y48G1C.2c.1	132	24.3224	0	0
Y48G1C.10a.1	3621	3421.65	1004.27	10.8909
Y48G1C.10b.1	2440	2240.65	0	0
Y48G1C.10a.2	3611	3411.65	23.3505	0.25397
Y48G1C.6.1	1741	1541.65	71.4008	1.71857
Y48G1C.10c.1	294	124.011	0	0
Y48G1C.9.2	2363	2163.65	525.355	9.00982
Y48G1C.9.1	2339	2139.65	0	0
Y48G1C.1.1	1605	1405.65	366.623	9.67816
Y48G1C.1.2	1521	1321.65	0	0
Y48G1C.13.1	376	192.028	167	32.2702
Y48G1C.8a.1	4965	4765.65	870.303	6.77639
Y48G1C.8b.1	4907	4707.65	2941.7	23.1869
F53G12.1.1	1244	1044.65	8985.41	319.167
F53G12.1.2	1294	1094.65	3765.59	127.646
F53G12.16	221	72.2073	2	1.02778
F53G12.15	149	31.885	0	0
F53G12.10.1	799	599.887	35519.9	2197.11
F53G12.10.2	820	620.887	6306.1	376.875
F53G12.17	150	32.4249	2	2.28877
F53G12.12	134	25.2565	0	0
F53G12.9a.1	929	729.691	30	1.52557
F53G12.9b.1	237	82.7898	0	0
F53G12.8.1	561	364.238	126	12.8361
F53G12.14	21	8.75	0	0
F53G12.7a.1	1133	933.648	15.7462	0.625811
F53G12.7b.1	777	577.887	12.2538	0.78682
F53G12.6.1	1586	1386.65	142	3.7999
F53G12.5a.1	2039	1839.65	0.382858	0.0077224
F53G12.5b.1	2030	1830.65	261.114	5.29267
F53G12.5a.2	1989	1789.65	11756.5	243.759
F53G12.5c.1	543	346.693	362.987	38.8504
F53G12.4.1	1070	870.648	33	1.40644
F53G12.3.1	4512	4312.65	4.06401	0.0349671
F53G12.18.1	222	72.8012	1	0.509695
F56C11.1.2	5185	4985.65	269.494	2.00575
F56C11.1.1	4667	4467.65	872.442	7.24614
F56C11.2a.1	2698	2498.65	285.386	4.23816
F56C11.2a.2	2809	2609.65	258.614	3.67722
F56C11.2b.1	2010	1810.65	2.99835e-07	6.14466e-09
F56C11.6a.1	1847	1647.65	280.989	6.32811
F56C11.6a.2	1911	1711.65	270.367	5.86123
F56C11.6b.1	1686	1486.65	523.644	13.0701
F56C11.6c	1696	1496.65	0	0
F56C11.7	60	19.6988	0	0
F56C11.5b.1	911	711.691	274.066	14.2894
F56C11.5a.1	1024	824.648	305.731	13.7569
F56C11.5a.2	1201	1001.65	96.2034	3.5639
F56C11.3.1	558	361.302	0.487555	0.0500729
F56C11.3.2	564	367.217	404.512	40.875
Y48G1BL.2a.2	7673	7473.65	1001.86	4.9742
Y48G1BL.2a.1	7665	7465.65	2.5916	0.012881
F56C11.t1	75	18.5956	0.25	0.49886
K10E9.2	1614	1414.65	6.97269	0.182895
Y48G1BL.2b.1	5106	4906.65	625.55	4.73072
Y48G1BL.7.1	1070	870.648	13.3775	0.570143
Y48G1BL.3	1468	1268.65	1627.52	47.6032
Y48G1BL.1	870	670.812	85.688	4.73989
Y48G1BL.4	428	238.674	38.3865	5.96792
Y48G1BL.8.1	613	415.197	9	0.804336
Y48G1BL.5	933	733.691	172.137	8.70582
Y48G1BM.4	2385	2185.65	4	0.0679093
Y48G1BM.6	3780	3580.65	94.7647	0.982052
Y48G1BM.7	271	106.902	9	3.12397
